comment,label,category
"Video này hay quá! Cảm ơn bạn đã chia sẻ",positive,compliment
"Chúc mừng bạn nhé! Thật sự rất tuyệt vời",positive,congratulation
"Bài viết rất bổ ích, tôi đã học được nhiều điều",positive,appreciation
"Tôi rất thích phong cách của bạn",positive,compliment
"Cảm ơn bạn rất nhiều vì đã giúp đỡ",positive,gratitude
"Quá tuyệt vời! Tôi sẽ chia sẻ cho bạn bè",positive,excitement
"Bạn thật tài năng! Chúc bạn thành công",positive,encouragement
"Hình ảnh đẹp quá! Like ngay",positive,appreciation
"Rất hữu ích, tôi sẽ áp dụng thử",positive,useful
"Bạn nói đúng lắm, tôi đồng ý với bạn",positive,agreement
"Tôi không thích cái này lắm",negative,dislike
"Hơi buồn chán một chút",negative,boredom
"Không hay lắm, tôi nghĩ có thể làm tốt hơn",negative,criticism
"Hình như có gì đó không đúng",negative,doubt
"Tôi không đồng ý với quan điểm này",negative,disagreement
"Chưa thuyết phục lắm",negative,skepticism
"Tôi cảm thấy hơi thất vọng",negative,disappointment
"Không phải gu của tôi",negative,personal_preference
"Có vẻ không thú vị lắm",negative,uninteresting
"Tôi nghĩ cần cải thiện thêm",negative,suggestion
"Thằng ngu! Không biết gì mà nói",toxic,insult
"Mày nói lung tung vậy",toxic,vulgar
"Đồ khốn nạn!",toxic,curse
"Thật là ngu ngốc",toxic,insult
"Mày có bệnh à?",toxic,offensive
"Đừng có láo nháo",toxic,rude
"Thằng này chắc bị điên",toxic,insult
"Nói chuyện như con nít",toxic,condescending
"Đầu óc có vấn đề",toxic,offensive
"Im đi! Không ai hỏi ý kiến mày",toxic,aggressive
"OK bạn ơi",neutral,acknowledgment
"Được rồi",neutral,acceptance
"Tôi hiểu rồi",neutral,understanding
"Cảm ơn bạn",neutral,polite
"Để tôi nghĩ xem",neutral,consideration
"Có thể là vậy",neutral,possibility
"Tôi sẽ xem xét",neutral,consideration
"Không sao",neutral,dismissal
"Được thôi",neutral,acceptance
"Tạm ổn",neutral,mediocre
"Chúc mừng sinh nhật bạn nhé!",positive,celebration
"Happy birthday! Chúc bạn luôn vui vẻ",positive,celebration
"Chúc hai bạn hạnh phúc bên nhau",positive,blessing
"Chúc mừng năm mới! Năm mới an khang thịnh vượng",positive,celebration
"Chúc bạn sớm khỏe lại nhé",positive,care
